2020-04-29 16:04:09.520 | INFO     | cookies_pool.scheduler:run:87 - starting cookies_pool...
2020-04-29 16:04:09.520 | INFO     | cookies_pool.scheduler:run:95 - starting generator, pid None...
2020-04-29 16:04:09.524 | INFO     | cookies_pool.scheduler:run:100 - starting server, pid None...
2020-04-29 16:04:10.130 | DEBUG    | cookies_pool.scheduler:generate_cookie:57 - generator loop 0 start...
2020-04-29 16:04:10.130 | INFO     | cookies_pool.scheduler:api:81 - api接口开始运行...
2020-04-29 16:04:10.130 | INFO     | cookies_pool.scheduler:generate_cookie:58 - cookies生成进程开始进行...
2020-04-29 16:04:15.190 | INFO     | cookies_pool.processors.generator:run:79 - 正在生成Cookies, 账号: 13082808996, 密码：'sang123c'
2020-04-29 16:04:36.255 | INFO     | cookies_pool.processors.generator:run:84 - 成功获取到Cookies：{'1028305008_showTodayLove': 'true', 'visitedMsg1028305008': '3', 'Hm_lpvt_c50069af1fd1adc2cb066a862bd83f1c': '1588147472', 'radomUserId': '1588147461493_JWBWDTJKHV3OUZ72', 'today_love_key': 'space', '__auc': '71d37da4171c4f7277d5470c22f', 'UYYU': 'S445E7ODKBAM2UHAQVEVEOCKKTTG6SLNAKQS2LXMM2HDH3TJ3KLNXVGI5A2PEDMC2Q4GEPFTIPSJ2===', '__asc': '71d37da4171c4f7277d5470c22f', 'JSESSIONID': 'aaaiPPwmHwVdidrjoo-gx', 'Hm_lvt_c50069af1fd1adc2cb066a862bd83f1c': '1588147462', 'cckShow': 'false', '__cdnuid_h': '766fa1ea3da12bc92e4872e3e2332ac4', 'out_url': 'N'}
2020-04-29 16:04:36.256 | INFO     | cookies_pool.processors.generator:run:86 - 成功保存Cookies
2020-04-29 16:04:36.256 | INFO     | cookies_pool.processors.generator:run:98 - 所有账号都已经成功获取Cookies
2020-04-29 16:04:39.256 | INFO     | cookies_pool.processors.generator:close:108 - Closing BrowserClosing Browser
2020-04-29 16:04:43.355 | INFO     | cookies_pool.scheduler:generate_cookie:64 - cookies生成完成!
2020-04-29 16:05:03.357 | DEBUG    | cookies_pool.scheduler:generate_cookie:57 - generator loop 1 start...
2020-04-29 16:05:03.357 | INFO     | cookies_pool.scheduler:generate_cookie:58 - cookies生成进程开始进行...
2020-04-29 16:05:08.528 | INFO     | cookies_pool.processors.generator:run:98 - 所有账号都已经成功获取Cookies
2020-04-29 16:05:11.529 | INFO     | cookies_pool.processors.generator:close:108 - Closing BrowserClosing Browser
2020-04-29 16:05:11.595 | INFO     | cookies_pool.scheduler:generate_cookie:64 - cookies生成完成!
2020-04-29 16:05:31.595 | DEBUG    | cookies_pool.scheduler:generate_cookie:57 - generator loop 2 start...
2020-04-29 16:05:31.596 | INFO     | cookies_pool.scheduler:generate_cookie:58 - cookies生成进程开始进行...
2020-04-29 16:07:56.820 | INFO     | cookies_pool.scheduler:run:88 - starting cookies_pool...
2020-04-29 16:07:56.821 | INFO     | cookies_pool.scheduler:run:96 - starting generator, pid None...
2020-04-29 16:07:56.826 | INFO     | cookies_pool.scheduler:run:101 - starting server, pid None...
2020-04-29 16:07:57.433 | INFO     | cookies_pool.scheduler:api:82 - api接口开始运行...
2020-04-29 16:08:25.638 | INFO     | cookies_pool.storages.redisclient:random:82 - get random cookies success from cookies_pool: {"1028305008_showTodayLove": "true", "visitedMsg1028305008": "3", "Hm_lpvt_c50069af1fd1adc2cb066a862bd83f1c": "1588147472", "radomUserId": "1588147461493_JWBWDTJKHV3OUZ72", "today_love_key": "space", "__auc": "71d37da4171c4f7277d5470c22f", "UYYU": "S445E7ODKBAM2UHAQVEVEOCKKTTG6SLNAKQS2LXMM2HDH3TJ3KLNXVGI5A2PEDMC2Q4GEPFTIPSJ2===", "__asc": "71d37da4171c4f7277d5470c22f", "JSESSIONID": "aaaiPPwmHwVdidrjoo-gx", "Hm_lvt_c50069af1fd1adc2cb066a862bd83f1c": "1588147462", "cckShow": "false", "__cdnuid_h": "766fa1ea3da12bc92e4872e3e2332ac4", "out_url": "N"}
2020-04-29 16:08:31.159 | INFO     | cookies_pool.storages.redisclient:random:82 - get random cookies success from cookies_pool: {"name": "value"}
2020-04-29 16:08:31.938 | INFO     | cookies_pool.storages.redisclient:random:82 - get random cookies success from cookies_pool: {"name": "value"}
2020-04-29 16:08:33.691 | INFO     | cookies_pool.storages.redisclient:random:82 - get random cookies success from cookies_pool: {"1028305008_showTodayLove": "true", "visitedMsg1028305008": "3", "Hm_lpvt_c50069af1fd1adc2cb066a862bd83f1c": "1588147472", "radomUserId": "1588147461493_JWBWDTJKHV3OUZ72", "today_love_key": "space", "__auc": "71d37da4171c4f7277d5470c22f", "UYYU": "S445E7ODKBAM2UHAQVEVEOCKKTTG6SLNAKQS2LXMM2HDH3TJ3KLNXVGI5A2PEDMC2Q4GEPFTIPSJ2===", "__asc": "71d37da4171c4f7277d5470c22f", "JSESSIONID": "aaaiPPwmHwVdidrjoo-gx", "Hm_lvt_c50069af1fd1adc2cb066a862bd83f1c": "1588147462", "cckShow": "false", "__cdnuid_h": "766fa1ea3da12bc92e4872e3e2332ac4", "out_url": "N"}
2020-04-29 16:12:10.644 | INFO     | cookies_pool.scheduler:run:87 - starting cookies_pool...
2020-04-29 16:12:10.645 | INFO     | cookies_pool.scheduler:run:90 - starting tester, pid None...
2020-04-29 16:12:10.649 | INFO     | cookies_pool.scheduler:run:95 - starting generator, pid None...
2020-04-29 16:12:10.650 | INFO     | cookies_pool.scheduler:run:100 - starting server, pid None...
2020-04-29 16:12:11.309 | DEBUG    | cookies_pool.scheduler:valid_cookie:33 - tester loop 0 start...
2020-04-29 16:12:11.309 | INFO     | cookies_pool.scheduler:valid_cookie:34 - cookies检测进程开始进行...
2020-04-29 16:12:11.310 | INFO     | cookies_pool.processors.tester:test:38 - 正在测试cookies, 用户名, 888888
2020-04-29 16:12:11.313 | INFO     | cookies_pool.scheduler:api:81 - api接口开始运行...
2020-04-29 16:12:13.232 | INFO     | cookies_pool.processors.tester:test:50 - cookies有效..., 888888
2020-04-29 16:12:13.233 | INFO     | cookies_pool.processors.tester:test:38 - 正在测试cookies, 用户名, 13082808996
2020-04-29 16:12:14.184 | INFO     | cookies_pool.processors.tester:test:50 - cookies有效..., 13082808996
2020-04-29 16:12:14.185 | INFO     | cookies_pool.scheduler:valid_cookie:40 - cookies检测完成!
2020-04-29 16:40:13.980 | INFO     | cookies_pool.scheduler:run:87 - starting cookies_pool...
2020-04-29 16:40:13.981 | INFO     | cookies_pool.scheduler:run:90 - starting tester, pid None...
2020-04-29 16:40:13.984 | INFO     | cookies_pool.scheduler:run:95 - starting generator, pid None...
2020-04-29 16:40:13.987 | INFO     | cookies_pool.scheduler:run:100 - starting server, pid None...
2020-04-29 16:40:14.646 | DEBUG    | cookies_pool.scheduler:valid_cookie:33 - tester loop 0 start...
2020-04-29 16:40:14.646 | INFO     | cookies_pool.scheduler:api:81 - api接口开始运行...
2020-04-29 16:40:14.646 | INFO     | cookies_pool.scheduler:valid_cookie:34 - cookies检测进程开始进行...
2020-04-29 16:40:14.647 | INFO     | cookies_pool.processors.tester:test:38 - 正在测试cookies, 用户名, 888888
2020-04-29 16:40:15.190 | INFO     | cookies_pool.processors.tester:test:59 - 302, {'Date': 'Wed, 29 Apr 2020 08:43:36 GMT', 'Content-Type': 'text/html; charset=utf-8', 'Content-Length': '71', 'Connection': 'keep-alive', 'Content-Language': 'en', 'Location': 'http://www.youyuan.com/login.html', 'X-CDN-Edge': '0b7e99c,-', 'Set-Cookie': '__cdnuid_h=19b2d2eabdbafa5c4b8580fb9d922d3e; max-age=31536000; path=/; HttpOnly', 'X-Cache': 'bypass'}
2020-04-29 16:40:15.191 | INFO     | cookies_pool.processors.tester:test:60 - cookies失效..., 888888
2020-04-29 16:40:15.192 | INFO     | cookies_pool.processors.tester:test:62 - 删除cookies...., 888888
2020-04-29 16:40:15.193 | INFO     | cookies_pool.processors.tester:test:38 - 正在测试cookies, 用户名, 13082808996
2020-04-29 16:40:15.948 | INFO     | cookies_pool.processors.tester:test:57 - cookies有效..., 13082808996
2020-04-29 16:40:15.949 | INFO     | cookies_pool.scheduler:valid_cookie:40 - cookies检测完成!
